place_id,place_title,gps,rating,date,title,name,review,images,likes,local_guide
ChIJczl40tuxfkcR-liPCUlwC9s,Farmacia Morelli,"{'latitude': 45.4376308, 'longitude': 12.336919199999999}",2.0,2 weeks ago,,Olivia Calafat,One the one hand some of the pharmacists were so kind with the kids and gave them some things to draw but then a woman with braids in charge of the beauty area was extremely rude when I asked her about a misunderstanding between the price of a label in a shell and the price that I paid (as they didn’t match),,,True
ChIJczl40tuxfkcR-liPCUlwC9s,Farmacia Morelli,"{'latitude': 45.4376308, 'longitude': 12.336919199999999}",5.0,5 months ago,,Adam Yore,"Very friendly and helpful staff - went on looking for protein powder (a bit hard to find in Europe). When I couldnt find on my own she politely took me to it personally and pulled another size to fit my limited time left. A good place, kind people - definitely recommend!",,,True
ChIJczl40tuxfkcR-liPCUlwC9s,Farmacia Morelli,"{'latitude': 45.4376308, 'longitude': 12.336919199999999}",5.0,a year ago,,Mark Smith,"Staff were very helpful in arranging for me to purchase crutches and rent wheelchair after my wife fractured her knee on our first day in Venice.
Crutches were 18€ per crutch (36€ for both) and wheelchair rental was 28€ for 7 days hire and they kindly provided an elevated knee support too",,,True
ChIJczl40tuxfkcR-liPCUlwC9s,Farmacia Morelli,"{'latitude': 45.4376308, 'longitude': 12.336919199999999}",1.0,11 months ago,,Berta J,Extremely rude service. The person  behind the counter kept walking away when i was talking and slammed the medicine on the counter. I left without buying due to the behavior even if i needed the pills.,,,True
ChIJczl40tuxfkcR-liPCUlwC9s,Farmacia Morelli,"{'latitude': 45.4376308, 'longitude': 12.336919199999999}",5.0,4 months ago,,Andy Cara Vaggio,"Very well organized,  very professional staff",,,True
ChIJczl40tuxfkcR-liPCUlwC9s,Farmacia Morelli,"{'latitude': 45.4376308, 'longitude': 12.336919199999999}",1.0,a year ago,,LG W,Worst pharmacy I’ve ever been in.  Impatient and rude.  Literally turned off lights and told everyone to get out.  Avoid if possible.  There are so many nicer pharmacies to deal with in Venice.,,,True
ChIJczl40tuxfkcR-liPCUlwC9s,Farmacia Morelli,"{'latitude': 45.4376308, 'longitude': 12.336919199999999}",5.0,8 years ago,,Jean Nicholson,"They rented us a new wheelchair for E.25 a week, with a E.250 deposit.  This enabled us to see Venice despite my bad back. Ok there are 400 bridges but if you can chose a route which minimises them, it is very helpful.  Thank you!",,,True
ChIJczl40tuxfkcR-liPCUlwC9s,Farmacia Morelli,"{'latitude': 45.4376308, 'longitude': 12.336919199999999}",5.0,a year ago,,Cédric G,Very nice and understanding crew! It saved my day!,,,True
ChIJTyIjetmxfkcRF347HL-dYQw,Farmacia Al Pellegrino,"{'latitude': 45.4376062, 'longitude': 12.338267799999999}",5.0,3 years ago,,Bozhena Melnyk,"Good pharmacy in the center of Venice with polite stuff. We did a quick covid test for air travel, stood in line for 40 minutes then we were asked to send the result by mail or print? We chose to print, we had to wait another 1 hour and the test was ready. It’s possible to pay by card, the price is 22€ for one.","['https://lh3.googleusercontent.com/geougc-cs/AMBA38smfKTNtITvVmtJbbxwM6PsQhWMS_QhOHsecMLkIvyOdnIm0Wy1UnjDd5gEcE4wiVS07oT4ntI0e9D-OAEKSn9ygehfKhDvXVdIXUnKttpPv4mDC0IqUMAzTcjVOptxuXNbQ6CD', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38tf6_henyGW1G7Bb1pUG5ucAgkRdyZdTDYFE3DU8ZAmGKmpTaQYOk-JLqEHL_9QMHM2zJWJ6KSozienQr-V7agDuwBIYtp6SmUYiUhLfSdiGfdbdBN_jY1WbK00xYQwlsgK5_Mo']",,True
ChIJTyIjetmxfkcRF347HL-dYQw,Farmacia Al Pellegrino,"{'latitude': 45.4376062, 'longitude': 12.338267799999999}",5.0,3 years ago,,Alesja Rusaka,"Antigen test with sertificate for the flight.
Very good experience with quick covid test.
Quick, not hurts, one of the CHEAPEST in the area. 15€ per person incl sertificate. Really a lot of people comes there for a test, so they try to make good, quick service. Good stuff.",,,True
