owner,total_photos,city_photos,city_ratio,day_span,classification
10038165@N02,29,29,1.0,2,TOURIST
10085107@N02,2,2,1.0,1,TOURIST
100940682@N04,2,2,1.0,0,TOURIST
100978997@N07,1,1,1.0,0,TOURIST
101528125@N06,9,9,1.0,0,TOURIST
101531307@N05,6,6,1.0,63,TOURIST
101926026@N07,4,4,1.0,220,RESIDENT
10286118@N00,3,3,1.0,0,TOURIST
10295659@N07,11,11,1.0,0,TOURIST
10345599@N03,3,3,1.0,0,TOURIST
10352380@N05,1,1,1.0,0,TOURIST
10372764@N03,1,1,1.0,0,TOURIST
103877283@N04,3,3,1.0,0,TOURIST
103925212@N02,1,1,1.0,0,TOURIST
10465235@N08,1,1,1.0,0,TOURIST
104656857@N06,19,19,1.0,0,TOURIST
10485077@N06,4,4,1.0,0,TOURIST
10501062@N00,1,1,1.0,0,TOURIST
105057848@N03,7,7,1.0,0,TOURIST
105856752@N02,153,153,1.0,1,TOURIST
10600715@N08,3,3,1.0,0,TOURIST
106611111@N02,3,3,1.0,0,TOURIST
107975976@N06,4,4,1.0,28,TOURIST
108291185@N06,8,8,1.0,1727,RESIDENT
10838746@N04,2,2,1.0,0,TOURIST
10856991@N08,7,7,1.0,0,TOURIST
108747549@N08,1,1,1.0,0,TOURIST
108848409@N03,2,2,1.0,0,TOURIST
10896199@N02,7,7,1.0,0,TOURIST
10909746@N05,21,21,1.0,0,TOURIST
109682776@N07,3,3,1.0,227,RESIDENT
110243836@N08,5,5,1.0,1,TOURIST
110423987@N08,2,2,1.0,0,TOURIST
110728579@N08,4,4,1.0,334,RESIDENT
11102419@N00,2,2,1.0,2,TOURIST
111314495@N05,3,3,1.0,0,TOURIST
11135829@N03,2,2,1.0,0,TOURIST
111463580@N03,1,1,1.0,0,TOURIST
111597006@N06,1,1,1.0,0,TOURIST
111699152@N04,5,5,1.0,398,RESIDENT
11180247@N04,1,1,1.0,0,TOURIST
11192111@N00,1,1,1.0,0,TOURIST
112055573@N04,1,1,1.0,0,TOURIST
112161144@N02,4,4,1.0,0,TOURIST
112302026@N07,4,4,1.0,0,TOURIST
11233936@N02,2,2,1.0,0,TOURIST
112468004@N07,1,1,1.0,0,TOURIST
11261325@N03,2,2,1.0,0,TOURIST
112714084@N07,4,4,1.0,48,TOURIST
11274550@N00,1,1,1.0,0,TOURIST
112791535@N06,2,2,1.0,0,TOURIST
11325185@N02,2,2,1.0,0,TOURIST
113402549@N03,7,7,1.0,0,TOURIST
11343635@N07,4,4,1.0,0,TOURIST
113594633@N07,1,1,1.0,0,TOURIST
11364153@N04,7,7,1.0,416,RESIDENT
11374444@N07,14,14,1.0,1,TOURIST
113817660@N03,3,3,1.0,0,TOURIST
11417420@N07,3,3,1.0,0,TOURIST
114194374@N07,3,3,1.0,0,TOURIST
114215508@N06,3,3,1.0,365,RESIDENT
11451860@N08,101,101,1.0,1495,RESIDENT
114797986@N08,14,14,1.0,0,TOURIST
115113955@N04,2,2,1.0,0,TOURIST
11554406@N00,2,2,1.0,0,TOURIST
116212459@N03,3,3,1.0,0,TOURIST
11674269@N08,3,3,1.0,0,TOURIST
116770257@N03,40,40,1.0,0,TOURIST
116784937@N06,4,4,1.0,0,TOURIST
11689887@N05,2,2,1.0,0,TOURIST
11768522@N06,25,25,1.0,5,TOURIST
117870559@N03,6,6,1.0,0,TOURIST
118506765@N07,8,8,1.0,6986,RESIDENT
118547663@N05,1,1,1.0,0,TOURIST
119084734@N04,1,1,1.0,0,TOURIST
119192561@N02,1,1,1.0,0,TOURIST
11983943@N02,1,1,1.0,0,TOURIST
12034206@N05,2,2,1.0,0,TOURIST
12054734@N06,19,19,1.0,2,TOURIST
120746968@N03,5,5,1.0,0,TOURIST
120833037@N06,9,9,1.0,748,RESIDENT
121233082@N04,35,35,1.0,2,TOURIST
12167448@N05,34,34,1.0,2,TOURIST
12189850@N08,1,1,1.0,0,TOURIST
12203485@N05,1,1,1.0,0,TOURIST
12220450@N03,1,1,1.0,0,TOURIST
12229469@N05,1,1,1.0,0,TOURIST
12249683@N08,6,6,1.0,0,TOURIST
122521853@N04,1,1,1.0,0,TOURIST
12284147@N00,7,7,1.0,1,TOURIST
12289447@N07,4,4,1.0,438,RESIDENT
12303964@N00,44,44,1.0,0,TOURIST
123046854@N07,9,9,1.0,1456,RESIDENT
123096458@N03,10,10,1.0,2,TOURIST
123218203@N05,4,4,1.0,0,TOURIST
123566961@N03,2,2,1.0,0,TOURIST
12412554@N07,1,1,1.0,0,TOURIST
124408349@N04,407,407,1.0,1,TOURIST
124458086@N02,5,5,1.0,0,TOURIST
124495171@N06,1,1,1.0,0,TOURIST
124530576@N07,3,3,1.0,0,TOURIST
124638754@N03,1,1,1.0,0,TOURIST
124763981@N05,5,5,1.0,0,TOURIST
125202787@N08,2,2,1.0,0,TOURIST
125216791@N07,3,3,1.0,0,TOURIST
125422569@N06,28,28,1.0,0,TOURIST
125436468@N03,1,1,1.0,0,TOURIST
12547546@N00,16,16,1.0,6,TOURIST
125564045@N06,4,4,1.0,0,TOURIST
125601701@N03,2,2,1.0,1460,RESIDENT
125643832@N06,1,1,1.0,0,TOURIST
125701341@N07,1,1,1.0,0,TOURIST
125868838@N02,12,12,1.0,2,TOURIST
125918564@N04,2,2,1.0,0,TOURIST
125970542@N04,3,3,1.0,1,TOURIST
126059730@N07,7,7,1.0,0,TOURIST
12606065@N00,5,5,1.0,0,TOURIST
126250149@N08,3,3,1.0,0,TOURIST
12650001@N08,12,12,1.0,5,TOURIST
126771727@N04,3,3,1.0,1564,RESIDENT
126856921@N04,1,1,1.0,0,TOURIST
127197881@N07,1,1,1.0,0,TOURIST
127349327@N05,43,43,1.0,3652,RESIDENT
127369307@N07,1,1,1.0,0,TOURIST
12741965@N00,1,1,1.0,0,TOURIST
127533881@N02,1,1,1.0,0,TOURIST
127591585@N07,1,1,1.0,0,TOURIST
127668983@N03,1,1,1.0,0,TOURIST
127734173@N03,2,2,1.0,1,TOURIST
127849392@N04,1,1,1.0,0,TOURIST
127906733@N05,2,2,1.0,0,TOURIST
128003162@N08,1,1,1.0,0,TOURIST
12818386@N00,1,1,1.0,0,TOURIST
128191152@N04,15,15,1.0,1,TOURIST
128432815@N03,2,2,1.0,3675,RESIDENT
128454275@N05,1,1,1.0,0,TOURIST
128539572@N06,3,3,1.0,0,TOURIST
12867133@N06,13,13,1.0,1,TOURIST
129231073@N06,13,13,1.0,0,TOURIST
129237435@N03,2,2,1.0,0,TOURIST
129454994@N06,3,3,1.0,0,TOURIST
129479602@N06,4,4,1.0,1,TOURIST
129545700@N02,3,3,1.0,0,TOURIST
129631597@N06,1,1,1.0,0,TOURIST
12971692@N07,11,11,1.0,0,TOURIST
129805014@N02,2,2,1.0,0,TOURIST
129843488@N07,1,1,1.0,0,TOURIST
130031272@N07,2,2,1.0,0,TOURIST
130128142@N04,1,1,1.0,0,TOURIST
130274232@N02,1,1,1.0,0,TOURIST
130299430@N03,1,1,1.0,0,TOURIST
130640248@N02,2,2,1.0,0,TOURIST
131412938@N03,1,1,1.0,0,TOURIST
131431296@N04,2,2,1.0,0,TOURIST
13148989@N03,2,2,1.0,0,TOURIST
131563592@N05,1,1,1.0,0,TOURIST
131823707@N06,1,1,1.0,0,TOURIST
13194817@N00,2,2,1.0,0,TOURIST
132414194@N03,2,2,1.0,0,TOURIST
132571827@N06,2,2,1.0,0,TOURIST
13257277@N00,210,210,1.0,3,TOURIST
132626623@N06,2,2,1.0,0,TOURIST
133190422@N03,6,6,1.0,0,TOURIST
133317146@N05,2,2,1.0,0,TOURIST
13338563@N00,2,2,1.0,0,TOURIST
133876835@N08,76,76,1.0,2,TOURIST
134039647@N02,3,3,1.0,0,TOURIST
13426843@N08,3,3,1.0,0,TOURIST
134378250@N05,1,1,1.0,0,TOURIST
13498452@N00,3,3,1.0,1,TOURIST
135420200@N02,3,3,1.0,0,TOURIST
135440617@N03,1,1,1.0,0,TOURIST
13549634@N06,2,2,1.0,0,TOURIST
13556828@N03,4,4,1.0,0,TOURIST
135625678@N06,3,3,1.0,0,TOURIST
135638490@N03,2,2,1.0,0,TOURIST
135671694@N03,1,1,1.0,0,TOURIST
135706304@N02,15,15,1.0,628,RESIDENT
135758003@N03,5,5,1.0,68,TOURIST
135866982@N05,4,4,1.0,0,TOURIST
135895861@N02,1,1,1.0,0,TOURIST
136240655@N04,2,2,1.0,0,TOURIST
136325095@N07,1,1,1.0,0,TOURIST
136373368@N02,4,4,1.0,0,TOURIST
13639872@N07,1,1,1.0,0,TOURIST
136415739@N04,1,1,1.0,0,TOURIST
136511885@N04,5,5,1.0,147,RESIDENT
13674038@N02,2,2,1.0,0,TOURIST
137023967@N04,2,2,1.0,0,TOURIST
137129299@N07,24,24,1.0,1076,RESIDENT
137245032@N04,1,1,1.0,0,TOURIST
137347074@N07,2,2,1.0,0,TOURIST
137392692@N02,5,5,1.0,2,TOURIST
137712307@N03,2,2,1.0,0,TOURIST
137918669@N08,244,244,1.0,2840,RESIDENT
138108269@N05,3,3,1.0,0,TOURIST
138752302@N05,4,4,1.0,0,TOURIST
13879794@N04,17,17,1.0,1,TOURIST
13885025@N05,4,4,1.0,0,TOURIST
138883094@N04,2,2,1.0,0,TOURIST
13893079@N06,2,2,1.0,0,TOURIST
139003966@N05,2,2,1.0,3562,RESIDENT
139150318@N05,1,1,1.0,0,TOURIST
13945854@N00,4,4,1.0,0,TOURIST
13950736@N03,11,11,1.0,2,TOURIST
139681288@N03,1,1,1.0,0,TOURIST
14093527@N03,20,20,1.0,6592,RESIDENT
141255856@N03,2,2,1.0,0,TOURIST
14139399@N00,3,3,1.0,3,TOURIST
141595328@N02,10,10,1.0,2,TOURIST
142083289@N03,4,4,1.0,1987,RESIDENT
14209672@N08,2,2,1.0,0,TOURIST
142316486@N05,3,3,1.0,0,TOURIST
14242265@N00,14,14,1.0,0,TOURIST
142603036@N07,1,1,1.0,0,TOURIST
14273810@N08,1,1,1.0,0,TOURIST
14277620@N00,14,14,1.0,57,TOURIST
14278819@N08,22,22,1.0,60,TOURIST
142995416@N07,13,13,1.0,5,TOURIST
143146286@N02,1,1,1.0,0,TOURIST
143330933@N08,2,2,1.0,0,TOURIST
14336132@N00,18,18,1.0,0,TOURIST
14344846@N08,8,8,1.0,0,TOURIST
143593890@N07,6,6,1.0,0,TOURIST
14426473@N04,5,5,1.0,0,TOURIST
144351962@N03,2,2,1.0,0,TOURIST
14437770@N08,1,1,1.0,0,TOURIST
144405414@N03,4,4,1.0,20,TOURIST
14441244@N08,2,2,1.0,0,TOURIST
14455092@N00,1,1,1.0,0,TOURIST
145003604@N02,2,2,1.0,2,TOURIST
145104728@N02,2,2,1.0,0,TOURIST
145361631@N02,2,2,1.0,0,TOURIST
145472109@N04,1,1,1.0,0,TOURIST
145683341@N07,1,1,1.0,0,TOURIST
145802237@N03,3,3,1.0,0,TOURIST
145868809@N06,1,1,1.0,0,TOURIST
146077050@N07,1,1,1.0,0,TOURIST
146150720@N06,7,7,1.0,2323,RESIDENT
146214487@N06,4,4,1.0,0,TOURIST
146438080@N07,6,6,1.0,0,TOURIST
146725631@N05,8,8,1.0,2,TOURIST
146838317@N05,9,9,1.0,508,RESIDENT
14686451@N02,2,2,1.0,0,TOURIST
14702267@N08,3,3,1.0,307,RESIDENT
147123366@N06,10,10,1.0,1994,RESIDENT
147153897@N06,2,2,1.0,0,TOURIST
147396021@N07,3,3,1.0,0,TOURIST
147434472@N05,2,2,1.0,0,TOURIST
