X,Y,id,left,top,right,bottom,sent_compound_count,sent_compound_mean
1373182.6895177,5691632.84198866,1,1373157.6895177,5691657.84198866,1373207.6895177,5691607.84198866,,0.0
1373182.6895177,5691582.84198866,2,1373157.6895177,5691607.84198866,1373207.6895177,5691557.84198866,,0.0
1373182.6895177,5691532.84198866,3,1373157.6895177,5691557.84198866,1373207.6895177,5691507.84198866,,0.0
1373182.6895177,5691482.84198866,4,1373157.6895177,5691507.84198866,1373207.6895177,5691457.84198866,,0.0
1373182.6895177,5691432.84198866,5,1373157.6895177,5691457.84198866,1373207.6895177,5691407.84198866,,0.0
1373182.6895177,5691382.84198866,6,1373157.6895177,5691407.84198866,1373207.6895177,5691357.84198866,,0.0
1373182.6895177,5691332.84198866,7,1373157.6895177,5691357.84198866,1373207.6895177,5691307.84198866,,0.0
1373182.6895177,5691282.84198866,8,1373157.6895177,5691307.84198866,1373207.6895177,5691257.84198866,,0.0
1373182.6895177,5691232.84198866,9,1373157.6895177,5691257.84198866,1373207.6895177,5691207.84198866,,0.0
1373182.6895177,5691182.84198866,10,1373157.6895177,5691207.84198866,1373207.6895177,5691157.84198866,1.0,0.929343
1373182.6895177,5691132.84198866,11,1373157.6895177,5691157.84198866,1373207.6895177,5691107.84198866,1.0,0.0
1373182.6895177,5691082.84198866,12,1373157.6895177,5691107.84198866,1373207.6895177,5691057.84198866,,0.0
1373182.6895177,5691032.84198866,13,1373157.6895177,5691057.84198866,1373207.6895177,5691007.84198866,,0.0
1373182.6895177,5690982.84198866,14,1373157.6895177,5691007.84198866,1373207.6895177,5690957.84198866,,0.0
1373182.6895177,5690932.84198866,15,1373157.6895177,5690957.84198866,1373207.6895177,5690907.84198866,,0.0
1373182.6895177,5690882.84198866,16,1373157.6895177,5690907.84198866,1373207.6895177,5690857.84198866,,0.0
1373182.6895177,5690832.84198866,17,1373157.6895177,5690857.84198866,1373207.6895177,5690807.84198866,2.0,0.853259
1373182.6895177,5690782.84198866,18,1373157.6895177,5690807.84198866,1373207.6895177,5690757.84198866,1.0,-0.0989
1373182.6895177,5690732.84198866,19,1373157.6895177,5690757.84198866,1373207.6895177,5690707.84198866,,0.0
1373182.6895177,5690682.84198866,20,1373157.6895177,5690707.84198866,1373207.6895177,5690657.84198866,,0.0
1373182.6895177,5690632.84198866,21,1373157.6895177,5690657.84198866,1373207.6895177,5690607.84198866,,0.0
1373182.6895177,5690582.84198866,22,1373157.6895177,5690607.84198866,1373207.6895177,5690557.84198866,,0.0
1373182.6895177,5690532.84198866,23,1373157.6895177,5690557.84198866,1373207.6895177,5690507.84198866,,0.0
1373182.6895177,5690482.84198866,24,1373157.6895177,5690507.84198866,1373207.6895177,5690457.84198866,2.0,0.552833
1373182.6895177,5690432.84198866,25,1373157.6895177,5690457.84198866,1373207.6895177,5690407.84198866,1.0,-0.296
1373182.6895177,5690382.84198866,26,1373157.6895177,5690407.84198866,1373207.6895177,5690357.84198866,1.0,0.041
